Data e hora,Temperatura interna,Temperatura externa,Temperatura definida,Potencia ventoinha,Potencia Resistor
22-01-2023 20:14:47,33.62,0.00,0.00,100,0
22-01-2023 20:14:49,33.81,0.00,35.00,0,100
22-01-2023 20:14:50,34.00,0.00,35.00,100,0
22-01-2023 20:14:51,34.12,0.00,35.00,100,0
22-01-2023 20:14:52,34.25,0.00,35.00,100,0
22-01-2023 20:14:54,34.25,0.00,0.00,100,0
22-01-2023 20:14:55,34.38,0.00,0.00,100,0
22-01-2023 20:14:56,34.44,0.00,35.00,100,0
22-01-2023 20:14:57,34.50,0.00,35.00,100,0
22-01-2023 20:14:59,34.62,0.00,35.00,100,0
22-01-2023 20:15:00,34.62,0.00,0.00,100,0
22-01-2023 20:15:01,34.62,0.00,0.00,100,0
22-01-2023 20:15:02,34.69,0.00,0.00,0,100
22-01-2023 20:15:04,34.69,0.00,35.00,100,0
22-01-2023 20:15:05,34.75,0.00,0.00,0,4
22-01-2023 20:15:06,34.75,0.00,35.00,100,0
22-01-2023 20:15:07,34.69,0.00,0.00,0,2
22-01-2023 20:15:09,34.69,0.00,35.00,0,29
22-01-2023 20:15:10,34.75,0.00,35.00,100,0
22-01-2023 20:15:11,34.75,0.00,35.00,0,2
22-01-2023 20:15:12,34.75,0.00,35.00,0,2
22-01-2023 20:15:14,34.75,0.00,35.00,0,2
22-01-2023 20:15:15,34.75,0.00,35.00,0,2
22-01-2023 20:15:16,34.81,0.00,35.00,100,0
22-01-2023 20:15:17,34.81,0.00,0.00,100,0
22-01-2023 20:15:19,34.81,0.00,35.00,0,100
22-01-2023 20:15:20,34.88,0.00,35.00,100,0
22-01-2023 20:15:21,34.94,0.00,35.00,100,0
22-01-2023 20:15:22,34.94,0.00,0.00,100,0
22-01-2023 20:15:24,34.94,0.00,0.00,100,0
22-01-2023 20:15:25,34.88,0.00,0.00,100,0
22-01-2023 20:15:26,34.88,0.00,35.00,100,0
22-01-2023 20:15:27,34.81,0.00,0.00,100,0
22-01-2023 20:15:29,34.81,0.00,35.00,0,12
22-01-2023 20:15:30,34.81,0.00,0.00,100,0
22-01-2023 20:15:31,34.81,0.00,0.00,100,0
22-01-2023 20:15:32,34.75,0.00,35.00,0,100
22-01-2023 20:15:34,34.69,0.00,35.00,0,14
22-01-2023 20:15:35,34.62,0.00,35.00,0,16
22-01-2023 20:15:36,34.56,0.00,35.00,0,18
22-01-2023 20:15:37,34.56,0.00,0.00,100,0
22-01-2023 20:15:39,34.56,0.00,35.00,0,100
22-01-2023 20:15:40,34.56,0.00,35.00,100,0
22-01-2023 20:15:41,34.50,0.00,35.00,0,20
22-01-2023 20:15:42,34.50,0.00,35.00,100,0
22-01-2023 20:15:44,34.50,0.00,35.00,100,0
22-01-2023 20:15:45,34.44,0.00,0.00,100,0
22-01-2023 20:15:46,34.38,0.00,0.00,0,22
22-01-2023 20:15:47,34.31,0.00,0.00,0,24
22-01-2023 20:15:49,34.19,0.00,35.00,0,55
22-01-2023 20:15:50,34.19,0.00,35.00,0,55
22-01-2023 20:15:51,34.12,0.00,0.00,0,5
22-01-2023 20:15:52,34.06,0.00,0.00,0,32
22-01-2023 20:15:54,34.06,0.00,35.00,0,34
22-01-2023 20:15:55,34.12,0.00,0.00,0,9
22-01-2023 20:15:56,34.12,0.00,35.00,100,0
22-01-2023 20:15:57,34.12,0.00,35.00,0,8
22-01-2023 20:15:59,34.12,0.00,35.00,0,8
22-01-2023 20:16:00,34.12,0.00,35.00,0,8
22-01-2023 20:16:01,34.06,0.00,0.00,100,0
22-01-2023 20:16:02,34.06,0.00,35.00,0,100
22-01-2023 20:16:04,34.00,0.00,35.00,0,35
22-01-2023 20:16:05,34.06,0.00,35.00,100,0
22-01-2023 20:16:06,34.06,0.00,35.00,0,8
22-01-2023 20:16:07,33.94,0.00,0.00,0,8
22-01-2023 20:16:09,33.88,0.00,30.00,0,100
22-01-2023 20:16:10,33.75,0.00,30.00,100,0
22-01-2023 20:16:11,33.75,0.00,30.00,100,0
22-01-2023 20:16:12,33.75,0.00,0.00,100,0
22-01-2023 20:16:14,33.69,0.00,0.00,100,0
22-01-2023 20:16:15,33.56,0.00,0.00,100,0
22-01-2023 20:16:16,33.56,0.00,30.00,0,100
22-01-2023 20:16:17,33.38,0.00,0.00,100,0
22-01-2023 20:16:19,33.38,0.00,54.00,100,0
22-01-2023 20:16:20,33.25,0.00,0.00,100,0
22-01-2023 20:16:21,33.25,0.00,0.00,100,0
22-01-2023 20:16:22,33.12,0.00,30.00,0,100
22-01-2023 20:16:24,33.06,0.00,30.00,100,0
22-01-2023 20:16:25,32.88,0.00,30.00,100,0
22-01-2023 20:16:26,32.81,0.00,30.00,100,0
22-01-2023 20:16:27,32.81,0.00,0.00,100,0
22-01-2023 20:16:29,32.75,0.00,30.00,0,100
22-01-2023 20:16:30,32.56,0.00,0.00,0,100
22-01-2023 20:16:31,32.50,0.00,30.00,100,0
22-01-2023 20:16:32,32.38,0.00,30.00,100,0
22-01-2023 20:16:34,32.38,0.00,30.00,100,0
22-01-2023 20:16:35,32.25,0.00,0.00,100,0
22-01-2023 20:16:36,32.12,0.00,0.00,100,0
22-01-2023 20:16:37,32.00,0.00,0.00,100,0
22-01-2023 20:16:39,31.88,0.00,30.00,100,0
22-01-2023 20:16:40,31.88,0.00,30.00,100,0
22-01-2023 20:16:41,31.75,0.00,0.00,100,0
22-01-2023 20:16:42,31.69,0.00,0.00,100,0
22-01-2023 20:16:44,31.69,0.00,30.00,100,0
22-01-2023 20:16:45,31.56,0.00,0.00,100,0
22-01-2023 20:16:46,31.38,0.00,30.00,0,100
22-01-2023 20:16:47,31.31,0.00,30.00,100,0
22-01-2023 20:16:49,31.19,0.00,30.00,100,0
22-01-2023 20:16:50,31.19,0.00,30.00,100,0
22-01-2023 20:16:51,31.00,0.00,0.00,100,0
22-01-2023 20:16:52,30.88,0.00,30.00,0,100
22-01-2023 20:16:54,30.75,0.00,30.00,0,7
22-01-2023 20:16:55,30.62,0.00,30.00,0,11
22-01-2023 20:16:56,30.62,0.00,30.00,100,0
22-01-2023 20:16:57,30.50,0.00,0.00,100,0
22-01-2023 20:16:59,30.38,0.00,30.00,0,100
22-01-2023 20:17:00,30.31,0.00,30.00,100,0
22-01-2023 20:17:01,30.25,0.00,30.00,100,0
22-01-2023 20:17:02,30.12,0.00,0.00,100,0
22-01-2023 20:17:04,30.12,0.00,0.00,100,0
